Customer  Arrival    Service  Queue  Teller  Time Serv  Time Cust  Time Serv  Time Spent
   Id      Time       Time     Loc    Loc     Begins      Waits      Ends       in Sys  
--------  -------   --------  -----  ------  ---------  ---------  ---------  ----------
   156	 303.74	     3.35	-1	2     303.74	    0.00    307.09 	  3.35 
   157	 304.04	     4.12	-1	4     304.04	    0.00    308.16 	  4.12 
   159	 306.62	     4.33	-1	1     306.62	    0.00    310.95 	  4.33 
   161	 313.87	     1.60	-1	2     313.87	    0.00    315.47 	  1.60 
   152	 297.91	    19.29	-1	0     297.91	    0.00    317.20 	 19.29 
   162	 314.35	     3.81	-1	4     314.35	    0.00    318.16 	  3.81 
   155	 300.05	    19.83	-1	3     300.05	    0.00    319.88 	 19.83 
   160	 313.44	     7.27	-1	1     313.44	    0.00    320.71 	  7.27 
   164	 322.40	     2.35	-1	1     322.40	    0.00    324.75 	  2.35 
   163	 321.12	     8.88	-1	0     321.12	    0.00    330.00 	  8.88 
   168	 329.59	     2.81	-1	4     329.59	    0.00    332.40 	  2.81 
   166	 329.15	     3.39	-1	2     329.15	    0.00    332.54 	  3.39 
   165	 329.14	     7.81	-1	1     329.14	    0.00    336.95 	  7.81 
   167	 329.46	     8.75	-1	3     329.46	    0.00    338.21 	  8.75 
   173	 343.63	     3.69	-1	4     343.63	    0.00    347.33 	  3.69 
   172	 339.14	     8.80	-1	3     339.14	    0.00    347.94 	  8.80 
   170	 338.29	    11.70	-1	1     338.29	    0.00    349.99 	 11.70 
   171	 339.09	    11.19	-1	2     339.09	    0.00    350.28 	 11.19 
   176	 348.94	     3.09	-1	5     348.94	    0.00    352.03 	  3.09 
   177	 349.63	     3.74	0	1     349.99	    0.37    353.74 	  4.11 
   175	 348.82	     6.55	-1	3     348.82	    0.00    355.37 	  6.55 
   180	 351.08	     5.82	0	1     353.74	    2.65    359.56 	  8.48 
   169	 331.05	    29.35	-1	0     331.05	    0.00    360.40 	 29.35 
   182	 353.05	     1.80	0	1     359.56	    6.51    361.36 	  8.31 
   174	 347.91	    13.50	-1	4     347.91	    0.00    361.40 	 13.50 
   178	 349.83	    11.39	0	2     350.28	    0.45    361.67 	 11.84 
   179	 350.86	    11.76	0	5     352.03	    1.17    363.79 	 12.93 
   181	 351.09	    10.36	0	3     355.37	    4.29    365.73 	 14.64 
   185	 358.47	     5.92	0	4     361.40	    2.93    367.32 	  8.85 
   183	 353.17	     8.31	0	0     360.40	    7.22    368.71 	 15.53 
   186	 359.40	     8.33	0	2     361.67	    2.27    370.00 	 10.60 
   191	 378.74	     0.54	-1	4     378.74	    0.00    379.28 	  0.54 
   190	 378.63	     0.96	-1	2     378.63	    0.00    379.58 	  0.96 
   187	 360.55	    16.12	0	5     363.79	    3.24    379.91 	 19.36 
   194	 379.74	     1.60	0	5     379.91	    0.17    381.51 	  1.77 
   193	 379.49	     3.50	0	2     379.58	    0.09    383.08 	  3.59 
   195	 381.86	     1.31	-1	5     381.86	    0.00    383.17 	  1.31 
